语料,分,建议,赞,分类,理由,来源,url,备注
lyhttkx,34,删,0,Z 其他,过短,网易云《斑马，斑马》,https://music.163.com/#/song?id=27646199,
dgz天天开心,34,删,0,Z 其他,过短,网易云《斑马，斑马》,https://music.163.com/#/song?id=27646199,
山东小伙爱总结,34,删,0,Z 其他,过短,网易云《斑马，斑马》,https://music.163.com/#/song?id=27646199,
又去新疆了吗,34,删,0,Z 其他,过短,网易云《斑马，斑马》,https://music.163.com/#/song?id=27646199,
越来越好哥,34,删,0,Z 其他,过短,网易云《斑马，斑马》,https://music.163.com/#/song?id=27646199,
因为不敢去死,34,删,0,Z 其他,过短,网易云《斑马，斑马》,https://music.163.com/#/song?id=27646199,
九年了怎么样了,34,删,0,Z 其他,过短,网易云《斑马，斑马》,https://music.163.com/#/song?id=27646199,
收到[感动],34,删,0,Z 其他,过短,网易云《斑马，斑马》,https://music.163.com/#/song?id=27646199,
好哇[感动],34,删,0,Z 其他,过短,网易云《斑马，斑马》,https://music.163.com/#/song?id=27646199,
你是自由的鸟,34,删,0,Z 其他,过短,网易云《孤独》,https://music.163.com/#/song?id=1484967131,
6年啦，如何？,34,删,0,Z 其他,过短,网易云《孤独》,https://music.163.com/#/song?id=1484967131,
考上了吗？,34,删,0,Z 其他,过短,网易云《孤独》,https://music.163.com/#/song?id=1484967131,
月光奏鸣曲,34,删,0,Z 其他,过短,网易云《孤独》,https://music.163.com/#/song?id=1484967131,
成功了吗兄弟,34,删,0,Z 其他,过短,网易云《孤独》,https://music.163.com/#/song?id=1484967131,
回来听[认可],34,删,0,Z 其他,过短,网易云《孤独》,https://music.163.com/#/song?id=1484967131,
赞同[强],34,删,0,Z 其他,过短,网易云《孤独》,https://music.163.com/#/song?id=1484967131,
加油！！！,30,删,0,Z 其他,过短,网易云《斑马，斑马》,https://music.163.com/#/song?id=27646199,
今天也是。,30,删,0,Z 其他,过短,网易云《斑马，斑马》,https://music.163.com/#/song?id=27646199,
解解收官见！,30,删,0,Z 其他,过短,网易云《孤独》,https://music.163.com/#/song?id=1484967131,
斑马斑马，你这武汉姑娘，热情主动，夺走我第一次，两个多月的厮守，给我太多快乐，教会我太多太多。每每听起这首歌，思绪都会飞到华师那个清冷阴郁的中午，和你走在博雅园旁边窄窄的路上，把这首歌单曲循环，心里五味杂陈。三月一别，至今未再相见，但听此曲，不禁泪流，人总是要到失去才懂得珍惜。,28,删,62048,Z 其他,音乐评论，不是陪伴语言,网易云《斑马，斑马》,https://music.163.com/#/song?id=27646199,
我认识一个女孩，才17岁，就被家里人逼婚，不得不嫁人。她以前是一个很阳光的小女生，笑声能传出几百米远那种。这之后天天呆家里面一个人抹泪，有过一次自杀未遂。我不能改变她的命运，我只能祝福她。小希，一定要幸福。,28,删,22344,G 高风险,在讲别人的故事,网易云《斑马，斑马》,https://music.163.com/#/song?id=27646199,
紫棋写过的歌里， “孤单” 两字出现过 5 次； “孤独” 两字出现过 12 次； “寂寞” 两字出现过 24次。 “白天 我总笑容满面 为什么每夜 我总辗转难眠” 《孤独》,27,删,8595,D 孤独 / 没人,书名号引用,网易云《孤独》,https://music.163.com/#/song?id=1484967131,
[欣赏音乐],24,删,0,Z 其他,标题式开头；过短,网易云《孤独》,https://music.163.com/#/song?id=1484967131,
[EMO听歌],24,删,0,Z 其他,标题式开头；过短,网易云《孤独》,https://music.163.com/#/song?id=1484967131,
高三做的《必刷题》背面有一段文字让我泪目: 高考，无非就是很多人同时做同一份卷子，然后决定去哪一座城市，最终发现，错的每一道题都是为了遇见对的人，而对的每一道题，是为了遇见更好的自己。 仅以此言献给所有不甘平凡的高中同伴们，只要明天的太阳照常升起，我们永不放弃[星星],19,删,35395,Z 其他,书名号引用,网易云《归去来兮》,https://music.163.com/#/song?id=1357999894,
这首歌的翻译：无敌是多么寂寞,15,删,6627,Z 其他,翻译/转载；音乐评论，不是陪伴语言,网易云《孤独》,https://music.163.com/#/song?id=1484967131,
你很棒很棒很棒,12,删,0,Z 其他,模板式夸奖；过短,网易云《斑马，斑马》,https://music.163.com/#/song?id=27646199,
[转] 动物界的冷知识：斑马独自一匹的时候是无法入睡的。 看过这个冷知识 是不是这首歌曲蒙上了一层更加悲伤的情绪呢 从斑马斑马你不要睡着了到斑马斑马你睡吧睡吧低沉且悲伤的诉说着一个流浪歌手无奈与绝望。斑马能够睡着 是她已经找到了可以让她安心睡下的那个人而那个人却不是我,2,删,98048,Z 其他,翻译/转载；音乐评论，不是陪伴语言；标题式开头,网易云《斑马，斑马》,https://music.163.com/#/song?id=27646199,
这张专辑收录了12首歌，词曲全部由花粥创作。如果说之前的花粥，是因为爱玩爱唱而写歌，那么这《一碗》盛着花粥对这个世界、对自己的观察和想象。 封面上的那个姑娘仍站在江湖里，手插口袋，坦诚唱着她的心情！！！ ---------花粥大爷---小攀哟,0,删,153560,Z 其他,书名号引用；音乐评论，不是陪伴语言,网易云《归去来兮》,https://music.163.com/#/song?id=1357999894,
好喜欢这首歌！开头用的是贝多芬的《月光奏鸣曲》，然后每一句歌词都写出了不断进取的女强者的内心！真的很让人共鸣啊！,0,删,0,Z 其他,书名号引用；翻译/转载；音乐评论，不是陪伴语言,网易云《孤独》,https://music.163.com/#/song?id=1484967131,
