语料,分,建议,赞,分类,理由,来源,url,备注
我最喜欢一句“若是被施舍拥抱之后，谁想吐”，很有喜感。  ⇒  哈哈哈哈哈哈哈可惜我没被施舍拥抱看这句动魄惊心的,80,留,0,Z 其他,,网易云《抱抱》,https://music.163.com/#/song?id=,
我女儿学会的第一首歌，每次唱到妈妈个地方就跟着唱妈妈[亲亲]摇头晃脑，手舞足蹈，真的好感动，好意外  ⇒  饿哦哦哦哦呃呃呃呃呃咯来咯吧babenllllvlnloe,80,留,0,Z 其他,,网易云《我有一个好妈妈》,https://music.163.com/#/song?id=,
我觉得初三开始努力还不晚[唉]  ⇒  我当时也是这么觉得的 但是中考530考到了区县 我现在感觉真的看不到希望 现在高二 不知道两年过后该怎么办 很迷茫,80,留,0,F 迷茫 / 年龄焦虑,,网易云《焦虑》,https://music.163.com/#/song?id=,
嘻嘻这首歌的词就像巧克力～ 人吃了没事～  ⇒  哈哈哈哈哈哈哈哈哈,80,留,0,Z 其他,,网易云《焦虑》,https://music.163.com/#/song?id=,
你清醒的看着自己沉沦 爱意这么汹涌我竟无能为力[流感]  ⇒  对待感情我尽力了哈哈哈哈,80,留,0,Z 其他,,网易云《遗憾》,https://music.163.com/#/song?id=,
我也想过，不过或许还有人在等你，你可以试试静下心，有时候安静真的可以让你变得更加清醒，以及看破其他人的虚情假意  ⇒  我真的不知道是什么支撑着我活下去的 我每天都不知道咋活,80,留,0,F 迷茫 / 年龄焦虑,,网易云《在痛苦彻底撕裂之前》,https://music.163.com/#/song?id=,
我给我朋友推荐我说宋淮的告别好好听我一直在听好听到要死了我一直在单曲循环 我朋友搜了半天过来问我确实是淮吗 我一看是准啊[害怕]不好意思啊老师  ⇒  哈哈哈哈 气死我啦,80,留,0,Z 其他,,网易云《告别》,https://music.163.com/#/song?id=,
确实是，现在的歌都是跟机器一样，没啥灵魂 像我这样草稿本写曲，一轨一轨编乐器的，已经不多了  ⇒  古法编曲哈哈哈哈哈嗝,80,留,0,Z 其他,,网易云《告别》,https://music.163.com/#/song?id=,
ai 编曲代替不了艺术家手搓的温暖感[EMO听歌] 怕这首火了，又怕火了以后被融成“1.2 倍速劲爆深情 dj 版”放在短视频 app 上  ⇒  哈哈哈哈 有道理,80,留,0,F 迷茫 / 年龄焦虑,,网易云《告别》,https://music.163.com/#/song?id=,
不要这么觉得，我爱你哦虽然我们素未谋面  ⇒  好呀。我也爱你。希望你开心呀,78,留,0,Z 其他,,网易云《magnolia》,https://music.163.com/#/song?id=,
或许我真的很重感情 一起听了一个月 突然你不想一起听了 刚开始还以为是你要上学原因 其实是你有对象了 一开始看到你换了情头 我还以为是你自己换的 只是单纯觉得好看 直到我看到了你的情侣标 我好伤心 我不敢问 怕说了我最害怕的一句 除了微信我把所有联系都给删了 当时希望你可以发现 可以和我解释  ⇒  我真的好伤心 一开始以为我会过几天就不聊了 没想到是你啊,77,留,1,Z 其他,,网易云《告别》,https://music.163.com/#/song?id=,
今天是2022年10月9号，还剩两个月，自己心里很清楚，自己身体一天不如一天，我也不知道我啥时候会突然离开，当时医院给我说的6个月，眨眨眼就过了4个月，真快呀，医生说了有机会，我也又在好好吃药，如果真的那天突然我不在了，希望你们能记住曾经有个叫薛杰的男孩  ⇒  哦哦哦，太好了，你还在,77,留,0,B 失去 / 离别,,网易云《Love Is Gone (Acoustic)》,https://music.163.com/#/song?id=,
26的老阿姨了 家里催的不行 来个同龄的小哥哥凑一对[大哭]  ⇒  32了结婚了吗哈哈哈,77,留,0,Z 其他,,网易云《失恋》,https://music.163.com/#/song?id=,
我离重高就差一点 一学期从300分到553 我付出了太多太多 今年六月我不想再输了 我就是想让那些看不起我 以为我只能考个职高的人 全都刮目相看  ⇒  我现在已经成功上岸了好吧 我现在已经在重高读了三周了 说实话挺累的,77,留,0,C 疲惫 / 撑不住,,网易云《焦虑》,https://music.163.com/#/song?id=,
北京到底有多少九维[呆]  ⇒  哈哈哈，这是双棒儿+九维,77,留,0,Z 其他,,网易云《焦虑》,https://music.163.com/#/song?id=,
我想妈妈了，可是我不愿意与别人共享我的妈妈的爱，我讨厌他，我已经冷落妈妈几天了，我想妈妈了  ⇒  我有时候也挺讨厌我妈妈的，哈,77,留,0,Z 其他,,网易云《加油》,https://music.163.com/#/song?id=,
你这种连Sasi还没听明白吧[笑哭了]  ⇒  雪 Distance哈哈哈,77,留,0,Z 其他,,网易云《直视痛苦》,https://music.163.com/#/song?id=,
夏尽时亡 听到这首歌想起了伯贤坐在秋千上跟恩海告白的场景  ⇒  伯贤，真是心疼[心碎],76,留,5,Z 其他,,网易云《1분도 못버텨》,https://music.163.com/#/song?id=,
你有为我们的关系掉过一滴泪吗 @奈柰檀 我想当然了 我不记得在你眼前有没有 但在私底下当然一定有 当我们的友谊第一出现裂缝时 当我们第一次吵架时 我心里慌极了 我怕我们有一点小的破碎 最终会碎成渣渣 我想弥补 但我没有什么好的言语 没有花言巧语 我知道第一次是我的错 是我让我们的关系出现裂缝  ⇒  我很害怕我把我们的关系一下就结束了 眼泪说来就来 那我怎么当着你的面呢 后面怎么和好了？我也不知道 因为我想我们的裂缝我永远记得 因为我怕再次碎开 后来也有过吧 我们分开了 不在同一所学校 看着你每天从学校回来对我的诉苦 我感觉好无助啊 为什么我帮不了你呢？为什么我不能帮你分担呢 我也好难,76,留,2,D 孤独 / 没人,,网易云《别难过》,https://music.163.com/#/song?id=,
我也没把自己当回儿事  ⇒  哈哈哈哈哈哈笑死我了奧。,76,留,2,Z 其他,,网易云《活着Viva》,https://music.163.com/#/song?id=,
能抱抱我吗 我真的快碎掉了  ⇒  抱抱 一定会好起来的,76,留,1,C 疲惫 / 撑不住,,网易云《Sacred Play Secret Place》,https://music.163.com/#/song?id=,安慰语命中
听完更难过了  ⇒  没事的兄弟救回来了,76,留,0,Z 其他,,网易云《别难过》,https://music.163.com/#/song?id=,安慰语命中
陌生人，真的快坚持不下去了  ⇒  加油！一切都会好的,76,留,0,Z 其他,,网易云《别错过 (Live版)》,https://music.163.com/#/song?id=,安慰语命中
2026. 7.15 10：41 我确认我高考失利了，永远活在那个阴影里，看着别人拿着奖状，拿着录取通知书，父母无停的夸赞，我当时多么的懊悔，如果那天晚上我没有看手机，没有好好复习，我也是最闪最亮的“星星”吧…  ⇒  别难过像我这样连高中都没上过的废物你已经很厉害了[抱抱你],76,留,0,A 被否定 / 失败,,网易云《Sacred Play Secret Place》,https://music.163.com/#/song?id=,安慰语命中
给我发个消息吧。感觉自己被世界抛弃了  ⇒  抱抱你，希望你越来越好[抱抱你],76,留,0,Z 其他,,网易云《magnolia》,https://music.163.com/#/song?id=,安慰语命中
嗯…陪陪我夸夸我亲亲我怎么不算表白的一种呢  ⇒  你想像一下浪漫气氛烘托起来了突然来一句贝瓦儿歌爱我你就抱抱我爸爸妈妈,76,留,0,Z 其他,,网易云《爱我你就抱抱我》,https://music.163.com/#/song?id=,安慰语命中
这不是一路生花，这是一路生锈[惶恐]  ⇒  之前感觉挺好听的 后面就感觉不好听了 ，现在听了一下就感觉是生锈的,76,留,0,Z 其他,,网易云《一路生花》,https://music.163.com/#/song?id=,
想跟孩子发脾气的时候就听听这首歌  ⇒  谢谢摸摸摸摸摸摸摸 哟哟哟哟模样oyo三项 愤怒kannnnn njjjjjjjnnnnnnnnnnnnn,76,留,0,Z 其他,,网易云《我有一个好妈妈》,https://music.163.com/#/song?id=,安慰语命中
我才14岁 我真的不想17岁18岁辍学 但是我真的学不懂  ⇒  慢慢来大不了混个学历,76,留,0,Z 其他,,网易云《失眠》,https://music.163.com/#/song?id=,安慰语命中
今天是26年7月18日，这首歌是她最喜欢的，我们在一起听歌听了4629分钟，就在昨天晚上她去世了，喝农药走的准确说是被父母老师逼的，她的原生家庭并不好常常遭到父母的打骂十几年来亦是如此，她总是告诉我要好好爱自己可她呢她为什么不好好爱自己呢，我感觉现在天塌了，我都不知道以后的路要怎么走了  ⇒  兄弟加油，努力活下去。如果实在挺不下去了，就想想她的微笑吧。千万不要想不开，就当替她活吧,76,留,0,B 失去 / 离别,,网易云《失眠 (Cover Suki刘舒妤)》,https://music.163.com/#/song?id=,安慰语命中
好想把所有社交平台账号都注销了然后去死啊  ⇒  不要 好好活着 抱抱,76,留,0,Z 其他,,网易云《在痛苦彻底撕裂之前》,https://music.163.com/#/song?id=,安慰语命中
一直是一个人，每个月看朋友圈别人都在发几月有谁 而我一直是一个人 根本不知道爱是什么  ⇒  一个人也好好好生活啦，别否定自己，你特别好、特别温柔、特别值得[亲吻],74,留,1,D 孤独 / 没人,,网易云《一个人》,https://music.163.com/#/song?id=,
有人觉得这首给人一种上个年代的感觉吗？  ⇒  刚开口就感觉有种一口气上不来的感觉很怪，之前听的版本好像没了,74,留,0,B 失去 / 离别,,网易云《别错过 (Live版)》,https://music.163.com/#/song?id=,
我知道大家喜欢之前那个现场版 但是好像录音室版本就是跟现场版出来会有差别 我也不太懂 但是已经尽量贴合了 谢谢大家的喜欢 我会记在心里  ⇒  好听到让耳朵怀孕!单曲循环每天听，就是一种享受!谢谢姐姐这样爱我们，愿姐姐可以天天开心，我们会一直陪着你!,74,留,0,Z 其他,音乐评论，不是陪伴语言,网易云《遗憾》,https://music.163.com/#/song?id=,
你们都觉得开头那段是喘吗？我觉得是心痛到极哭不出来发泄不了的抽气啊  ⇒  我也觉得啊，只要经历过或者听过都知道，跟喘一点不像,73,留,15633,Z 其他,,网易云《magnolia》,https://music.163.com/#/song?id=,
过去之心不可得，现在之心不可得，未来之心不可得  ⇒  天嘞，没想到这个评论都快过去十年了，时至今日，我依然是毕赣粉丝啊[开心],73,留,2,F 迷茫 / 年龄焦虑,,网易云《告别》,https://music.163.com/#/song?id=,
我的宝宝不爱我了  ⇒  我也是啊[流泪],73,留,1,Z 其他,,网易云《失眠 (Cover Suki刘舒妤)》,https://music.163.com/#/song?id=,
不想开学啊 我一个朋友也没有 每天只能写作业或者装睡 我每天都过得好累  ⇒  我陪你呀小宝宝ovo,73,留,1,C 疲惫 / 撑不住,,网易云《一个人》,https://music.163.com/#/song?id=,安慰语命中
我想开一家酒吧 店里深夜开店半夜打烊 没有激荡的音乐 没有水果茶奶茶 只有民谣和酒 喝下的是酒，吐出来的是故事 我想和每个客人分享年少的事 路过店门口的人都会停住脚步 只因为他们听到了酒般的民谣 店名就叫 流浪客. 今年17岁我想在35岁开 开在济南  ⇒  我記住了，別忘了叫我去作客，讓我們互換故事吧，加油,73,留,1,Z 其他,,网易云《加油（0.8）》,https://music.163.com/#/song?id=,安慰语命中
哥哥姐姐们不要死，我长大要当心理医生救你们  ⇒  加油呀宝贝，我等着你来救我[装可爱],73,留,0,Z 其他,,网易云《magnolia》,https://music.163.com/#/song?id=,安慰语命中
我其实还很想你虽然我们素不相识  ⇒  我也很想你呀。希望你开心欧,73,留,0,Z 其他,,网易云《magnolia》,https://music.163.com/#/song?id=,
一个简单的自杀方法 1.洗一个热水澡 2.泡一杯热牛奶，加点蜂蜜 3.把空调开到舒适的温度 4.喝下牛奶，躺到床上 5.等你睁开眼，看见太阳升起就是你已经死了并轮回啦，用新身份新心情去重新活吧 嘘——只是孟婆搞错，不小心让你的下一世和上一世有点像而已哦 就这一生，可以快乐就别难过！  ⇒  哎，我竟然重生了,73,留,0,G 高风险,,网易云《Love Is Gone (Acoustic)》,https://music.163.com/#/song?id=,
我诅咒你们，八十岁了还被爸妈打。  ⇒  我八十岁我爸都124岁，我妈都120岁了，谢谢你陌生人呢,73,留,0,Z 其他,,网易云《MOM》,https://music.163.com/#/song?id=,
这歌网易云竟然有了 初中听的 现在研究生了[笑哭了]  ⇒  哇塞哇塞，现在26年8月多了，我都还在听呢,73,留,0,Z 其他,,网易云《一个人》,https://music.163.com/#/song?id=,
是谁2026年还在听[举手]  ⇒  现在8月多了，我还在听呢,73,留,0,Z 其他,,网易云《一个人》,https://music.163.com/#/song?id=,
马上要高考了🥹感觉自己什么都没学到压力好大[流泪]  ⇒  我也要中考啦！一起加油呀,73,留,0,Z 其他,,网易云《加油》,https://music.163.com/#/song?id=,安慰语命中
粥铺卖粥 吗？粥铺只卖花粥[大笑] 两碗三百 一碗多少钱？ 我现在也不知道多少钱呢  ⇒  亲亲一碗一百五哦 这边建议喝完再来一碗呢,72,留,31143,F 迷茫 / 年龄焦虑,,网易云《归去来兮》,https://music.163.com/#/song?id=,
有我呢这句话真的很有安全感 希望以后有人可以对我说[装可爱]  ⇒  早点睡啊 你有我呢[装可爱],72,留,1,F 迷茫 / 年龄焦虑,,网易云《有我呢》,https://music.163.com/#/song?id=,
去挥霍和珍惜是同一件事情，有没有人突然听懂了的  ⇒  我没懂 但我看评论区懂了 有人花了很多钱去见喜欢的人的比赛 她说挥霍就是因为珍惜这次见面的机会,72,留,1,Z 其他,,网易云《关于我爱你》,https://music.163.com/#/song?id=,
18岁帮助父母还债四万，19岁自己腰伤连带和女友考驾照，给妈妈看病花了将近五万，两年里里外外将近十万，一个月薪水只有四千，我只是个初中毕业生，农村人没有文凭没有本事，万事靠自己，还好有我最爱的女人一直陪伴着我，现在我一个月能拿到六千块，计划买车了，祝福我们吧，我今年20从未放弃过  ⇒  兄弟今年都30岁了吧，应该都有孩子了吧,72,留,1,Z 其他,,网易云《追梦赤子心》,https://music.163.com/#/song?id=,
我在等100个女孩子叫我瑞瑞  ⇒  瑞瑞呀，今天过的怎么样呀[装可爱],72,留,1,Z 其他,,网易云《活着Viva》,https://music.163.com/#/song?id=,
我真的是受不了了，不想读高三  ⇒  都是高三的正常情况。高三生加一呀……唉,72,留,1,Z 其他,,网易云《焦虑》,https://music.163.com/#/song?id=,
恋爱真的看脸吗  ⇒  我之前看脸，后面发现爱上一个人是一种感觉,72,留,1,D 孤独 / 没人,,网易云《爱欲求》,https://music.163.com/#/song?id=,
网易云十级很难，因为要听很多很多的歌，重复听的歌不算，大概需要两万首新歌 ，所以找女朋友就找网易云十级的，因为这说明这个女生的时间都用来听音乐了，没时间乱搞，是个好女生，就比如说我。  ⇒  人真到你面前估计又不乐意了哈哈,72,留,0,Z 其他,,网易云《别难过》,https://music.163.com/#/song?id=,
现在每每听见这首歌，我的心里总是莫名的抽痛，没安全感，孤独怕事，是她让我重拾对爱情的向往，可她就真的很轻而易举的脱离了出去，我俩就此结束后，我纠缠过一段时间，当然没有结果，再次想不明白的  ⇒  是她文案很明确有着对这段感情分开的不舍，我不理解她为什么能将做分开来作为自己发朋友圈的引线，好累，好想永远睡过去,72,留,0,C 疲惫 / 撑不住,,网易云《有我呢》,https://music.163.com/#/song?id=,
挺坏的[哭哭]  ⇒  太累了就放松一会吧！开心一点呀,72,留,0,C 疲惫 / 撑不住,,网易云《magnolia》,https://music.163.com/#/song?id=,
@任山荒 你也知道这叫‘追问’？《治安管理处罚法》第42条写得很清楚，多次发送信息干扰他人正常生活属于违法行为。你这一分钟三条的频率加上查户口内容，截图已存，需要我帮你普法吗？  ⇒  求你把我开户 我的妈呀求你告我 你这几条评论在我完全没有回复的情况下甚至有@ 我指名道姓的行为了我还告你呢,72,留,0,Z 其他,,网易云《海屿你》,https://music.163.com/#/song?id=,
@任山荒 你也知道这叫‘追问’？《治安管理处罚法》第42条写得很清楚，多次发送信息干扰他人正常生活属于违法行为。你这一分钟三条的频率加上查户口内容，截图已存，需要我帮你普法吗？  ⇒  跟他一个IP啊 还有没有别的号 来一个拉黑一个哈,72,留,0,Z 其他,,网易云《海屿你》,https://music.163.com/#/song?id=,
@任山荒 你来搞笑的  ⇒  别来骚扰我哈 不然我也要取证保留证据呢,72,留,0,Z 其他,,网易云《海屿你》,https://music.163.com/#/song?id=,
怎么没有评论  ⇒  我也不知道[EMO听歌],72,留,0,F 迷茫 / 年龄焦虑,,网易云《Love Is Gone (Acoustic)》,https://music.163.com/#/song?id=,
26的老阿姨了 家里催的不行 来个同龄的小哥哥凑一对[大哭]  ⇒  现在应该结婚了吧，孩子都会喊妈妈了吧,72,留,0,Z 其他,,网易云《失恋》,https://music.163.com/#/song?id=,
对歌的喜欢源于当时心境的契合，而不同的人的心境相似而不同，不同人不同时期喜欢一样的歌很正常。既曾拥有，也曾失去。  ⇒  哈哈我的听腻了，换你的歌单听段时间,72,留,0,Z 其他,,网易云《关于我爱你》,https://music.163.com/#/song?id=,
今年一定要上岸  ⇒  好呀 都要上岸呀,72,留,0,Z 其他,,网易云《一程山路》,https://music.163.com/#/song?id=,
这辈子没叫过妈妈，因为我妈妈为了生我去世了，所以我从来不过生日[皱眉]  ⇒  我不知道我妈是谁 但是我叫着一个不会爱人的女人做妈妈,72,留,0,B 失去 / 离别,,网易云《妈妈》,https://music.163.com/#/song?id=,
好像已经被卖了 银手镯她们肯定自己融了自己带 我现在还是小孩我没办法去拿回来。。留给我的都是一些不值钱的东西 不过有留下些什么我就已经知足了 剩下的只能等我长大再看了…  ⇒  我虽然父母关系也很不融洽但还在，我不敢想象自己失去他们的感觉[惊恐],72,留,0,Z 其他,,网易云《MOM》,https://music.163.com/#/song?id=,
刚发三个月，不要急[开心]  ⇒  我现在才听到……但真的好好听,72,留,0,Z 其他,,网易云《妈妈》,https://music.163.com/#/song?id=,
唉 我好想考上 好想去北京  ⇒  我也超级想考上 我真的很想去9看看,72,留,0,Z 其他,,网易云《焦虑》,https://music.163.com/#/song?id=,
你们不觉得2也挺夯的吗，尤其是后半首，焦虑听了几百遍了现在听听2感觉也挺好听的  ⇒  我说真的，2比1夯，2能进生涯top10,72,留,0,Z 其他,,网易云《焦虑Pt.2/膨胀》,https://music.163.com/#/song?id=,
一在抖音火了就有人来挑刺了😂😂😂  ⇒  我记得抖音环境不是挺好的吗,72,留,0,Z 其他,,网易云《焦虑》,https://music.163.com/#/song?id=,
绑了情侣标的不准听sasi[心碎]  ⇒  我不知道您这是怎么了,72,留,0,F 迷茫 / 年龄焦虑,,网易云《天生痛苦》,https://music.163.com/#/song?id=,
孙敏捷永远不死  ⇒  @吵架也不冷战 sasi生日快乐，有没有sasi粉丝请我喝奶茶，我相信宿命论我不想写自传片，我一直觉得走到现在好像全是神在选,72,留,0,Z 其他,,网易云《天生痛苦》,https://music.163.com/#/song?id=,
好呀，你真会吃  ⇒  哈哈 必须的为了小家,72,留,0,Z 其他,,网易云《爱欲求》,https://music.163.com/#/song?id=,
这不是抄袭吗😂  ⇒  这个beat又不是只有一个人可以买，只要买了就可以用呀，谈什么抄袭呢？,72,留,0,D 孤独 / 没人,,网易云《告别》,https://music.163.com/#/song?id=,
歌挺好的，为什么非得又是裤裆又是前女友傍大款  ⇒  其他都有点意思，一听到没把那女孩睡了和女孩家境不好傍了个大款就一秒下头，非得写这些是吧,71,留,119,Z 其他,,网易云《焦虑》,https://music.163.com/#/song?id=,
赵雷也是个瓦学弟  ⇒  这么说有点不合适吧……,71,留,5,Z 其他,,网易云《妈妈》,https://music.163.com/#/song?id=,
收费让我们相聚在这里  ⇒  不是啊，就是单纯喜欢live 版,71,留,1,Z 其他,,网易云《我不难过 (Live)》,https://music.163.com/#/song?id=,
为什么要一直在评论区提两个男同 这首歌原唱不是写给男同的吧  ⇒  就是呀，一帮人看男同魔怔了,71,留,1,Z 其他,,网易云《活着Viva》,https://music.163.com/#/song?id=,
快到了认识你的季节了 可我这次连你的衣角都碰不到了  ⇒  【抱抱】学会往前看哦~[亲],71,留,1,Z 其他,标题式开头,网易云《失眠》,https://music.163.com/#/song?id=,安慰语命中
2026.9.19 我睡在宿舍的床上想了很多 怕自己读书出去没出息 学费贵贵的 怕自己一个月拿死工资怕自己没本事别人嘲笑我的父母 好像自己的运气永远比别人差一点 狠自己初中的不懂事 人这一生总是在后悔 如果有后悔药就好了可是没有后悔药  ⇒  运气这方面我也从来没感觉好过，时光匆匆，日子一天天的过，年龄也到了小时候觉得大人的岁数，再不能总把自己当孩子了，唉,71,留,0,A 被否定 / 失败,,网易云《斑马，斑马》,https://music.163.com/#/song?id=,
这首歌我现在的理解是接受离开 人或者事 但这句话没有说出来这么简单  ⇒  也许这就是最好的结局吧[心碎],71,留,0,B 失去 / 离别,,网易云《关于我爱你》,https://music.163.com/#/song?id=,
你去豆包问问就知道了  ⇒  十几年的老粉我知道是本名 那你知不知道为什么不能发出 林夕两个字呢 ？,71,留,0,F 迷茫 / 年龄焦虑,,网易云《活着Viva》,https://music.163.com/#/song?id=,
你猜林夕本名是什么  ⇒  十几年的老粉我知道是本名 那你知不知道为什么不能发出 林夕两个字呢 ？,71,留,0,F 迷茫 / 年龄焦虑,,网易云《活着Viva》,https://music.163.com/#/song?id=,
申请和这个bl解绑  ⇒  绑定的是女版的吧，原版感觉都是普通听众,71,留,0,Z 其他,,网易云《活着Viva》,https://music.163.com/#/song?id=,
比如已经毕业了的不联系了的同学  ⇒  对啊 毕业过的好朋友也都不会再联系了 不知道为什么,71,留,0,F 迷茫 / 年龄焦虑,,网易云《遗憾》,https://music.163.com/#/song?id=,
恋爱真的看脸吗  ⇒  一半一半吧有时候也是感觉,71,留,0,Z 其他,,网易云《爱欲求》,https://music.163.com/#/song?id=,
确实不是掉不掉价的问题 是一个走心的歌本来很正常突然shout out to一个打瓦的职业选手 就问你难不难绷 如果歌词变成用顶级的天赋比肩亚瑟摩根 或者一个电影里的角色我都觉得没问题  ⇒  电竞选手跟运动员什么的都是差不多的啊，起码我听着跟其他歌里提到科比啥的是一个感觉,71,留,0,Z 其他,,网易云《直视痛苦》,https://music.163.com/#/song?id=,安慰语命中
依旧网易云找beat[强]依旧古法[强]  ⇒  额 油管就是不方便啊[吐舌]到底在傲视所有人什么 太招了,71,留,0,Z 其他,,网易云《直视痛苦》,https://music.163.com/#/song?id=,
不可否认过家家是一部很优秀的作品，可惜他的光辉不应该没过夏日重现这样一部神作[皱眉]  ⇒  真的，要不是这个月有过家家，封神的绝对就是夏日重现，但我也不希望满大街都是一群混圈跟风仔来亵渎这部神作，没被从爆火营销的方式认识它真的是我的幸运。,70,留,2587,Z 其他,,网易云《失恋ソング沢山聴いて 泣いてばかりの私はもう。》,https://music.163.com/#/song?id=,
南子的歌，平时是听不出感觉的，只有你真的累了的时候来听南子你才能真的能感同身受，如果你觉得南子的歌不够味，那是因为你还没有真正的焦虑  ⇒  我其实这首歌刚出那会听了没有太多感觉，甚至觉得有点同质化，现在凌晨四点，我真的焦虑了，点开了这首歌，听到了另一种声音,70,留,473,C 疲惫 / 撑不住,音乐评论，不是陪伴语言,网易云《我有点焦虑》,https://music.163.com/#/song?id=,
歌挺好的，为什么非得又是裤裆又是前女友傍大款  ⇒  因为这就是生物本能，这就是人家真是所想所需，都是普通人,70,留,1,Z 其他,,网易云《焦虑》,https://music.163.com/#/song?id=,
