语料,分,建议,赞,分类,理由,来源,url,备注
每次聽到「若我的心事純如白雪 可不可跟老朋友天真抱抱」都會想到「地上最遠的只怕是同場也不看我一次」,76,留,49,Z 其他,,网易云《抱抱》,https://music.163.com/#/song?id=288289,
“若我的心事純如白雪 可不可跟老朋友天真 抱抱”,76,留,16,Z 其他,,网易云《抱抱》,https://music.163.com/#/song?id=288289,
好不容易找个不要VIP的[抱抱你],76,留,7,Z 其他,,网易云《遗憾》,https://music.163.com/#/song?id=5249833,
如果全世界都揪着你的错指责你 那我蹲下来抱抱你,76,留,1,Z 其他,,网易云《藏不住》,https://music.163.com/#/song?id=3334618938,
抱抱 一定会好起来的,76,留,1,Z 其他,,网易云《Sacred Play Secret Place》,https://music.163.com/#/song?id=26093064,
→ ← 两个手指往中间滑，给我一个抱抱🫂,76,留,1,Z 其他,,网易云《抱抱》,https://music.163.com/#/song?id=288289,
别难过..别难过,76,留,0,Z 其他,,网易云《别难过》,https://music.163.com/#/song?id=3350385016,
没事的兄弟救回来了,76,留,0,Z 其他,,网易云《别难过》,https://music.163.com/#/song?id=3350385016,
在这里放只小猫ᓚᘏᗢ 路过可以摸摸它ᓚᘏᗢ վ'ᴗ' ի,76,留,0,Z 其他,,网易云《别错过 (Live版)》,https://music.163.com/#/song?id=3407803347,
加油！一切都会好的,76,留,0,Z 其他,,网易云《别错过 (Live版)》,https://music.163.com/#/song?id=3407803347,
抱抱你，希望你越来越好[抱抱你],76,留,0,Z 其他,,网易云《magnolia》,https://music.163.com/#/song?id=494642794,
你想像一下浪漫气氛烘托起来了突然来一句贝瓦儿歌爱我你就抱抱我爸爸妈妈,76,留,0,Z 其他,,网易云《爱我你就抱抱我》,https://music.163.com/#/song?id=573577359,
谢谢摸摸摸摸摸摸摸 哟哟哟哟模样oyo三项 愤怒kannnnn njjjjjjjnnnnnnnnnnnnn,76,留,0,Z 其他,,网易云《我有一个好妈妈》,https://music.163.com/#/song?id=1989486430,
慢慢来大不了混个学历,76,留,0,Z 其他,,网易云《失眠》,https://music.163.com/#/song?id=273114,
兄弟加油，努力活下去。如果实在挺不下去了，就想想她的微笑吧。千万不要想不开，就当替她活吧,76,留,0,Z 其他,,网易云《失眠 (Cover Suki刘舒妤)》,https://music.163.com/#/song?id=3372565583,
不要 好好活着 抱抱,76,留,0,Z 其他,,网易云《在痛苦彻底撕裂之前》,https://music.163.com/#/song?id=3387562817,
闭着眼睛，开着心动模式准备美美的睡上一觉，突然冒出了这个旋律，感觉不对，拿起手机，看到了“别难过”这三个字，我直接绷不住了，怎么游戏外还追着杀,74,留,27,Z 其他,音乐评论，不是陪伴语言,网易云《别难过》,https://music.163.com/#/song?id=3350385016,
我陪你呀小宝宝ovo,73,留,1,Z 其他,,网易云《一个人》,https://music.163.com/#/song?id=1406648893,
我記住了，別忘了叫我去作客，讓我們互換故事吧，加油,73,留,1,Z 其他,,网易云《加油（0.8）》,https://music.163.com/#/song?id=1959217061,
我不喜欢这样你为什么跟我做朋友了我很生气你已经不在乎了我狂怒我无能你不理我你若无奇迹你落落大方不要这样啊,73,留,0,Z 其他,,网易云《想哭》,https://music.163.com/#/song?id=65360,
加油呀宝贝，我等着你来救我[装可爱],73,留,0,Z 其他,,网易云《magnolia》,https://music.163.com/#/song?id=494642794,
我也要中考啦！一起加油呀,73,留,0,Z 其他,,网易云《加油》,https://music.163.com/#/song?id=34142597,
"加油呀,我的妈呀",72,留,1,Z 其他,,网易云《加油鸭》,https://music.163.com/#/song?id=1966161641,
【抱抱】学会往前看哦~[亲],71,留,1,Z 其他,标题式开头,网易云《失眠》,https://music.163.com/#/song?id=273114,
电竞选手跟运动员什么的都是差不多的啊，起码我听着跟其他歌里提到科比啥的是一个感觉,71,留,0,Z 其他,,网易云《直视痛苦》,https://music.163.com/#/song?id=3423058623,
昨晚梦里有人唱着这首歌，我听着哭醒了。我也不知道我在难过什么。,70,留,0,F 迷茫 / 年龄焦虑,音乐评论，不是陪伴语言,网易云《想哭》,https://music.163.com/#/song?id=65360,
很矛盾，为啥我听着有点难听又有点好听[笑哭了],70,留,0,Z 其他,,网易云《妈妈》,https://music.163.com/#/song?id=2154114071,
我听着听着哭了 [发布了语音，请前往最新移动端版本查看],68,留,1,Z 其他,,网易云《海屿你》,https://music.163.com/#/song?id=1973665667,
邹佳芯，我一直都在，你不是一个人,68,留,0,D 孤独 / 没人,,网易云《有我呢》,https://music.163.com/#/song?id=1400259397,
活着就好，我现在没有太多梦想，没有太多奢望，只是想好好的活下去,68,留,0,Z 其他,,网易云《Sacred Play Secret Place》,https://music.163.com/#/song?id=26093064,
我相信你可以的，加油,68,留,0,Z 其他,,网易云《我不难过》,https://music.163.com/#/song?id=287398,
加油，我明年读研毕业了,68,留,0,Z 其他,,网易云《一路生花》,https://music.163.com/#/song?id=2105354877,
加油，女孩，我相信未来会越来越好的，熬过艰涩的备考，以后都是幸福的日子,68,留,0,C 疲惫 / 撑不住,,网易云《加油！》,https://music.163.com/#/song?id=108406,
我正常的活着 正常的社交 吃饭 睡觉 但总感到悲伤 为什么,68,留,0,Z 其他,,网易云《在痛苦彻底撕裂之前》,https://music.163.com/#/song?id=3387562817,
为什么那么多人说烂尾啊。。。[惶恐]主角团在一次次轮回中竭尽全力地守护，难道不值得一个好结局吗？,67,?,2391,Z 其他,,网易云《失恋ソング沢山聴いて 泣いてばかりの私はもう。》,https://music.163.com/#/song?id=1962373924,
是加油鸭吧？我不我不懂,67,?,6,Z 其他,,网易云《加油鸭》,https://music.163.com/#/song?id=1966161641,
-什么死法不会疼啊… -当你问这个问题时，你已经好了一半啦,67,?,3,Z 其他,,网易云《心灵治愈 (钢琴)》,https://music.163.com/#/song?id=1987591401,
加油 这才哪到哪啊 所以磨难都经历了才配得上更好的未来 等等我,67,?,2,F 迷茫 / 年龄焦虑,,网易云《加油》,https://music.163.com/#/song?id=34142597,
很多事情不是解决了，而是，算了，放过自己吧。,67,?,1,Z 其他,,网易云《活着Viva》,https://music.163.com/#/song?id=2140084005,
加油哦陌生人[庆祝],67,?,0,Z 其他,,网易云《我不难过》,https://music.163.com/#/song?id=287398,
这个时候你已经三十几岁了吧！比我大很多，现在我才二十一岁。[呲牙],67,?,0,Z 其他,,网易云《失恋》,https://music.163.com/#/song?id=349079,
距离2027高考还有264天 请你相信自己可以做到的 加油吧少年 你一定考上的 你叫不死鸟,67,?,0,Z 其他,,网易云《追梦赤子心》,https://music.163.com/#/song?id=355992,
加油，说不定白手起家呢[强],67,?,0,Z 其他,,网易云《追梦赤子心》,https://music.163.com/#/song?id=355992,
加油，加油，一定要加油呀,67,?,0,Z 其他,,网易云《妈妈》,https://music.163.com/#/song?id=2154114071,
好好睡一觉吧晚安,67,?,0,Z 其他,,网易云《活着Viva》,https://music.163.com/#/song?id=2140084005,
兄弟加油啊一定要好起来 等你好了一定要回来回我[认可],67,?,0,Z 其他,,网易云《失眠》,https://music.163.com/#/song?id=3342074799,
加油嘛兄弟我初三一年都没读都上高中了[乞求],67,?,0,Z 其他,,网易云《焦虑Pt.2/膨胀》,https://music.163.com/#/song?id=2163619013,
加油 等到那个时候你就是一个能给自己撑起一片天的小大人了[可爱],66,?,2,Z 其他,,网易云《magnolia》,https://music.163.com/#/song?id=494642794,
该疯疯 人过一生 占理就别怕自私 真的再见会尴尬,66,?,1,Z 其他,,网易云《想哭》,https://music.163.com/#/song?id=65360,
真的好起来了，谢谢你,66,?,0,Z 其他,,网易云《Sacred Play Secret Place》,https://music.163.com/#/song?id=26093064,
带着挺的希望活下去加油兄弟,66,?,0,Z 其他,,网易云《失眠 (Cover Suki刘舒妤)》,https://music.163.com/#/song?id=3372565583,
幸福就是一句加油|•'-'•)و✧,66,?,0,Z 其他,,网易云《加油！》,https://music.163.com/#/song?id=108406,
那天你喝醉了，在台上说哇我喝了好多酒哇谁都认不出来啦。而我在桌边努力的吃菜。我呀，我是小学帮你集魔法士卡片的喽啰。我是初中三楼楼道飞奔接住你的大侠。我是高中陪你泡肯德基夜场的道友。我是大学给你寄了那天黑裙子的菩萨。我是在你这婚礼上红着眼祝百年好合的败狗。,65,?,35019,Z 其他,,网易云《富士山下》,https://music.163.com/#/song?id=65766,
高中第一次运动会广播放的就是JJ的加油，这几天听这首歌脑海里都是关于运动会的场景。三年以后，等高考结束了再听这首歌或许会很感慨吧，我觉得它承载了非常美好的回忆[可爱],65,?,2,F 迷茫 / 年龄焦虑,音乐评论，不是陪伴语言,网易云《加油！》,https://music.163.com/#/song?id=108406,
尊重歌手，每个人都是独立的[抱抱你],64,?,3,Z 其他,音乐评论，不是陪伴语言,网易云《爱欲求》,https://music.163.com/#/song?id=2618165651,
重来一次，我会让结局改变，让双非变成211！！让自己升级镀金！！加油！,64,?,2,Z 其他,,网易云《加油（0.8）》,https://music.163.com/#/song?id=1959217061,
如果你现在心情不太好，我可以在这里陪你说说话。私信也能找我。,64,?,0,Z 其他,,网易云《失恋》,https://music.163.com/#/song?id=349079,
我希望许下的承诺用一生来守护它，……下面大家接龙，加油！,64,?,0,Z 其他,,网易云《一路生花》,https://music.163.com/#/song?id=2105354877,
今年决定复读，全力冲刺27年高考，加油相信你自己，冲啊！！！！,63,?,3,Z 其他,,网易云《追梦赤子心》,https://music.163.com/#/song?id=355992,
最喜欢听加油呀。,63,?,1,Z 其他,,网易云《加油鸭》,https://music.163.com/#/song?id=1966161641,
加油啊，兄弟你可以！,63,?,0,Z 其他,,网易云《活着》,https://music.163.com/#/song?id=27646786,
“妈妈经历了鬼门关才有了你” “你却说人间不值得”,62,?,172046,Z 其他,,网易云《MOM》,https://music.163.com/#/song?id=1387581250,
相信有很多人和我一样 在等待一个陪你看海的人,62,?,17671,Z 其他,,网易云《海屿你》,https://music.163.com/#/song?id=1973665667,
⠀ ⠀⠀ ⠀⠀ ⠀ ⠀不理解你的千万不要去讲道理 ⠀ ⠀ ⠀,62,?,5974,Z 其他,,网易云《焦虑》,https://music.163.com/#/song?id=1832633339,
林校圳张奕嘉高考加油,62,?,4,Z 其他,,网易云《加油》,https://music.163.com/#/song?id=34142597,
谢谢，你已经陪我走到你力所能及的地方了,62,?,3,Z 其他,,网易云《失眠（抖音最火版）》,https://music.163.com/#/song?id=3395568896,
否极泰来加油加油加油,62,?,3,Z 其他,,网易云《加油》,https://music.163.com/#/song?id=34142597,
确实我也觉得加油鸭也很好听吗？,62,?,2,Z 其他,,网易云《加油鸭》,https://music.163.com/#/song?id=1966161641,
杨杰高考加油211 985随便挑👯👫,62,?,2,Z 其他,,网易云《加油》,https://music.163.com/#/song?id=34142597,
加油！！！！！ദ്ദി◝ ⩊ ◜.ᐟ,62,?,1,Z 其他,,网易云《有我呢》,https://music.163.com/#/song?id=1400259397,
26年了你活的好好的，加油✊,62,?,1,Z 其他,,网易云《Love Is Gone (Acoustic)》,https://music.163.com/#/song?id=1401671455,
来晚了，希望你还活着，加油,62,?,1,Z 其他,,网易云《活着》,https://music.163.com/#/song?id=27646786,
不理解你的千万不要去讲道理,62,?,1,Z 其他,,网易云《焦虑》,https://music.163.com/#/song?id=1832633339,
2027届中考生一起加油,62,?,1,Z 其他,,网易云《加油！》,https://music.163.com/#/song?id=108406,
加油我不会让父母失望,62,?,1,Z 其他,,网易云《加油》,https://music.163.com/#/song?id=34142597,
加油 这片天空属于你,62,?,0,Z 其他,,网易云《斑马，斑马》,https://music.163.com/#/song?id=27646199,
没有人能让你输，除非你不想赢，女孩们，加油,62,?,0,Z 其他,,网易云《孤独》,https://music.163.com/#/song?id=1484967131,
加油你为奥运会跑道上为国争光我为中国武术为国争光,62,?,0,Z 其他,,网易云《富士山下》,https://music.163.com/#/song?id=65766,
也爱你的拧巴不安 我明白你的潮湿忧愁 所以更想陪你一直走 二十二岁这一面 我想带走的是你的迷茫慌张,62,?,0,F 迷茫 / 年龄焦虑,,网易云《Sacred Play Secret Place》,https://music.163.com/#/song?id=26093064,
加油！[西西机智],62,?,0,Z 其他,,网易云《海屿你》,https://music.163.com/#/song?id=1973665667,
加油！！会越来越好的,62,?,0,Z 其他,,网易云《Love Is Gone (Acoustic)》,https://music.163.com/#/song?id=1401671455,
加油 努力了这么久不是为了走到这里[流泪]！你一定可以的,62,?,0,Z 其他,,网易云《一程山路》,https://music.163.com/#/song?id=1417849873,
加油兄弟，你能上强基班已经比别人强了，别太过勉强自己，相信你自己是最好的,62,?,0,Z 其他,,网易云《追梦赤子心》,https://music.163.com/#/song?id=355992,
你会好起来的 我相信,62,?,0,Z 其他,,网易云《活着Viva》,https://music.163.com/#/song?id=2140084005,
恭喜 加油加油好好生活,62,?,0,Z 其他,,网易云《活着Viva》,https://music.163.com/#/song?id=168905,
好好生活好好睡觉，好好吃饭,62,?,0,Z 其他,,网易云《失眠》,https://music.163.com/#/song?id=273114,
加油，让自己变得自立又优秀，有了赚钱独立的能力后，远离他们，自己住自己想买什么买什么，自己对自己好，把自己重新养一遍，加油，祝大家前程似锦,62,?,0,Z 其他,,网易云《失眠》,https://music.163.com/#/song?id=3342074799,
加油，，会好起来的，但是学习不是生活的全部,62,?,0,Z 其他,,网易云《失眠》,https://music.163.com/#/song?id=3342074799,
累是常态，作业只有更多，压力只增不减，别消极应事，不内耗，加油bro,62,?,0,C 疲惫 / 撑不住,,网易云《失眠》,https://music.163.com/#/song?id=3342074799,
你一直在我的歌单里循环播放,62,?,0,Z 其他,,网易云《失眠 (Cover Suki刘舒妤)》,https://music.163.com/#/song?id=3372565583,
加油 总会有结果的 未来就在你的眼去永远无法逃避,62,?,0,F 迷茫 / 年龄焦虑,,网易云《焦虑》,https://music.163.com/#/song?id=1832633339,
天天开心，照顾好自己,62,?,0,Z 其他,,网易云《焦虑》,https://music.163.com/#/song?id=1832633339,
什么时候才能好起来,62,?,0,Z 其他,,网易云《焦虑》,https://music.163.com/#/song?id=1832633339,
东北女的都这样 全国都知道,62,?,0,Z 其他,,网易云《焦虑》,https://music.163.com/#/song?id=3355878296,
加油加油！[欣赏音乐],62,?,0,Z 其他,,网易云《我有点焦虑》,https://music.163.com/#/song?id=1979723287,
你走了之后我的世界一直在下雨我处理不好,62,?,0,B 失去 / 离别,,网易云《一个人》,https://music.163.com/#/song?id=3347143755,
加油 无论什么困难 都不会打败我的,62,?,0,Z 其他,,网易云《加油！》,https://music.163.com/#/song?id=108406,
这一种加油 人人都需要,62,?,0,Z 其他,,网易云《加油！》,https://music.163.com/#/song?id=108406,
加油！ [发布了语音，请前往最新移动端版本查看],62,?,0,Z 其他,,网易云《加油！》,https://music.163.com/#/song?id=108406,
唱得很好听，加油,62,?,0,Z 其他,,网易云《加油》,https://music.163.com/#/song?id=34142597,
时间一直在走 我却什么也没留住,62,?,0,Z 其他,,网易云《加油（0.8）》,https://music.163.com/#/song?id=1959217061,
这不是必要的 但这是我想要的 加油加油,62,?,0,Z 其他,,网易云《加油（0.8）》,https://music.163.com/#/song?id=1959217061,
统一回复下大家，我陕西的，过一本线了，谢谢大家关心，么么哒祝未来的考生都金榜题名，加油哦,58,?,121360,F 迷茫 / 年龄焦虑,口号式鼓励,网易云《追梦赤子心》,https://music.163.com/#/song?id=355992,
最近泪点比较低。。。。对自己说声加油！,58,?,89003,Z 其他,,网易云《追梦赤子心》,https://music.163.com/#/song?id=355992,
有些人这辈子你已经见过最后一面了。,58,?,19352,B 失去 / 离别,,网易云《遗憾》,https://music.163.com/#/song?id=307018,
考研这条路 走了快一年了 ！马上到终点了 加油！一战上岸！祝自己一切顺利！,58,?,13850,B 失去 / 离别,,网易云《一程山路》,https://music.163.com/#/song?id=1417849873,
听的时候高二 现在大二 又是新的一年了 平平安安顺顺利利加油！冲冲冲了了！！！！！,58,?,3,Z 其他,,网易云《加油（0.8）》,https://music.163.com/#/song?id=1959217061,
2027高考加油！！！,58,?,2,Z 其他,,网易云《加油！》,https://music.163.com/#/song?id=108406,
2027高考上岸好不好！加油！Go！！,58,?,1,Z 其他,,网易云《加油！》,https://music.163.com/#/song?id=108406,
一切顺利！加油！,58,?,0,Z 其他,,网易云《富士山下》,https://music.163.com/#/song?id=65766,
啊抱抱你呀宝宝,58,?,0,Z 其他,过短,网易云《难过》,https://music.163.com/#/song?id=2729294663,
没有什么过不去，加油！,58,?,0,Z 其他,,网易云《追梦赤子心》,https://music.163.com/#/song?id=355992,
不理解你的千万不要去讲道理。,58,?,0,Z 其他,,网易云《焦虑》,https://music.163.com/#/song?id=1832633339,
是一个人 也不是一个人 很好听。,58,?,0,D 孤独 / 没人,,网易云《一个人》,https://music.163.com/#/song?id=3347143755,
一切都会好起来的！,58,?,0,Z 其他,,网易云《加油！》,https://music.163.com/#/song?id=108406,
加油！你今天已经很棒了！明天继续加油！,58,?,0,Z 其他,,网易云《加油（0.8）》,https://music.163.com/#/song?id=1959217061,
这张在生涯里是平的 但是因为你是五人组的一员 给的期望太高了 如果换到以前这张专还真可以 现在给一个合格水平没什么问题 有几首真是越听越有 希望压力不要太大 下一张加油吧 其实我还是希望继续跟你老哥搞一个双人专找一下感觉[偷笑],57,?,1,Z 其他,,网易云《直视痛苦》,https://music.163.com/#/song?id=3423058623,
我听着前奏总觉得在其他音乐里出现过类似旋律，但想不起来是哪首音乐[笑哭了],56,?,1,Z 其他,音乐评论，不是陪伴语言,网易云《MOM》,https://music.163.com/#/song?id=1387581250,
为什么要一直在评论区提两个男同 这首歌原唱不是写给男同的吧,55,?,3,Z 其他,音乐评论，不是陪伴语言,网易云《活着Viva》,https://music.163.com/#/song?id=2618708334,
抱抱你，每个人都值得被爱,54,?,1,Z 其他,模板式夸奖,网易云《在痛苦彻底撕裂之前》,https://music.163.com/#/song?id=3387562817,
今天在地铁里看见一个女的。二十多岁吧 自从她坐在我的边上她就一直在照镜子抹粉补妆一路上一直在补妆梳头 我当时真的很讨厌她周围的人也都用异样的眼光打探她。过了一会她从包里拿出一张请帖里面有对新婚夫妇的照片。她看了好一会才放下 拿起手机摁亮屏幕 是她和一个男的合照,53,?,40459,Z 其他,,网易云《斑马，斑马》,https://music.163.com/#/song?id=27646199,
【别难过】这首歌好好听啊ʢ˶ᵒ ᵕ ˂˶ʡᶻ 果断红心❤️。听到一闪一闪亮晶晶那块呜喵我直接加入特别收藏的歌单里，然后果断关注作者，比心❤️治愈了我有点压抑有点孤单的留学生活[心心],53,?,27,D 孤独 / 没人,音乐评论，不是陪伴语言；标题式开头,网易云《别难过》,https://music.163.com/#/song?id=3350385016,
我想当加油！向前冲呀，发呀，大地呀，我的妈呀，你好呀，小小丫，等我呀，梦想在前方呀，等着大家。新的一天开始啦，我出门离开家，外面风大雨大，我都不喊他，虽然不算大，我也要唱一下奔跑姿势很优雅，越到继续爬。向前冲呀，大姐呀，我的妈呀，你好呀，丑小鸭。等我呀，梦想在前方呀，等着大家加油,53,?,0,B 失去 / 离别,排比/对仗,网易云《加油鸭》,https://music.163.com/#/song?id=1966161641,
[大哭]这种歌不都这样吗，不过是通过直白来情绪宣泄，对生活的反抗,52,?,1,Z 其他,标题式开头,网易云《焦虑》,https://music.163.com/#/song?id=3355878296,
加油哦祝你金榜题名,52,?,1,Z 其他,口号式鼓励,网易云《加油！》,https://music.163.com/#/song?id=108406,
[晕]早点好起来,52,?,0,Z 其他,标题式开头,网易云《爱欲求》,https://music.163.com/#/song?id=2618165651,
好听好听好听，女声很惊艳，前奏秒了，后面发现rap旋律都不错！臣来迟了，加油加油。快结束的旋律也好好听,50,?,21,Z 其他,音乐评论，不是陪伴语言,网易云《告别》,https://music.163.com/#/song?id=3333824928,
少年，当你主动搜这首歌来听的时候，证明你已经到了小时候梦寐以求的年纪了,50,?,3,Z 其他,音乐评论，不是陪伴语言,网易云《爱我你就抱抱我》,https://music.163.com/#/song?id=573577359,
十年前的某天第一次听这首歌 那时坐在前任的小车上憧憬未来 现在已经结婚 老公是另一个人 他给我买了保时捷 今天点开网易云第一首推送了这首 过往历历在目 只是我一直在向前走[感动],50,?,0,D 孤独 / 没人,音乐评论，不是陪伴语言,网易云《活着》,https://music.163.com/#/song?id=27646786,
宫崎骏有一段浪漫的语录：其实我很早就知道我们不合适。但是我还是拒绝了所有人陪你走了一段没有结果的路 虽然时间不长 但毕生难忘。留住你和放过你 我都做不到。就像我坐在湖边 以为是海边.我吹着湖边的风 以为吹着的是海风.但湖是湖 海是海.,48,删,391,B 失去 / 离别,,网易云《加油（0.8）》,https://music.163.com/#/song?id=1959217061,
抱抱[乞求],48,删,1,Z 其他,过短,网易云《妈妈》,https://music.163.com/#/song?id=202377,
加油都会好的,48,删,1,Z 其他,过短,网易云《加油！》,https://music.163.com/#/song?id=108406,
谢谢[抱抱你],48,删,0,Z 其他,过短,网易云《Sacred Play Secret Place》,https://music.163.com/#/song?id=26093064,
@璐璐腾 抱抱,48,删,0,Z 其他,过短,网易云《抱抱》,https://music.163.com/#/song?id=288289,
加油抱抱你,48,删,0,Z 其他,过短,网易云《妈妈》,https://music.163.com/#/song?id=2154114071,
加油…3个小时内接警6起，要忙晕了，正能量起来…为人民服务,47,删,65306,Z 其他,口号式鼓励,网易云《加油！》,https://music.163.com/#/song?id=108406,
你的账号我不会再看了 你跟谁好我也不会在乎了 你可以去追你前任了你可以去喜欢别人了我不会再为你哭了不会再陪你了 我想恨你但我恨不起来 怡怡 你怎么能这样呢我记得你以前性格很好喜欢陪我会和我聊天的时候发可爱的表情包 你变了你变得虚情假意你和我的聊天会发给你朋友嘲笑我这一切都怪我自作自受。,45,删,2,Z 其他,,网易云《告别》,https://music.163.com/#/song?id=2055336242,
阿数当你搂着英语暧昧不清的时候 满身纹着函数 问我为什么不理解你时 我满脑子都是几年前刚和你认识的那段时间 你在阳光下小心翼翼的问我 加法会不会太难了 红着脸问我1+1等于几 那时候的你除了数字什么都没有 那是你最纯洁的样子 可我猜不透你的心 最终成为侧向我最锋利的那把刀,44,删,13,Z 其他,,网易云《遗憾》,https://music.163.com/#/song?id=5249833,
加油 会好的！,44,删,0,Z 其他,过短,网易云《焦虑》,https://music.163.com/#/song?id=1832633339,
750w➕10w啦，26年听海屿你的人，财神住你家了，26年支持马哥和我的，八方来财财源滚滚！,43,删,17926,Z 其他,口号式鼓励,网易云《海屿你》,https://music.163.com/#/song?id=1973665667,
从高三听到大四的这首歌，心态从高考压力 转变到社会压力。其实什么都还好 什么困难都会过去、只要勇敢往前走 走在对的路就好了。其实你知道的 你想要的 只要你努力 时间都会给你。加油 说一声加油 一切都会更美好,40,删,3545,Z 其他,音乐评论，不是陪伴语言,网易云《加油！》,https://music.163.com/#/song?id=108406,
可以抱一下嘛,39,删,1,Z 其他,过短,网易云《抱抱》,https://music.163.com/#/song?id=288289,
加油啊[强],39,删,0,Z 其他,过短,网易云《Love Is Gone (Acoustic)》,https://music.163.com/#/song?id=1401671455,
陌生人加油啊,39,删,0,Z 其他,过短,网易云《失眠》,https://music.163.com/#/song?id=273114,
[抱抱你],38,删,0,Z 其他,标题式开头；过短,网易云《magnolia》,https://music.163.com/#/song?id=494642794,
这里评论真吓人，无论几岁爱情都不该是你们生活的全部啊。人与人的生活节奏都不一样，有人3分钟泡面有人3小时煲汤，有人外卖已送达，有的人才刚切好蒜和肉。大家赶的时间不一样，慢慢会有人理解你的小情绪，慢慢理解你长大后的小心愿了解海边圆月。慢慢来的才是诚意，好戏都在烟火里。,37,删,8089,Z 其他,文艺腔词汇,网易云《活着Viva》,https://music.163.com/#/song?id=2140084005,
月子期间加油鸭,34,删,2,Z 其他,过短,网易云《加油鸭》,https://music.163.com/#/song?id=1966161641,
加油怎么样了,34,删,1,Z 其他,过短,网易云《Love Is Gone (Acoustic)》,https://music.163.com/#/song?id=1401671455,
可以可以加油,34,删,1,Z 其他,过短,网易云《失恋》,https://music.163.com/#/song?id=349079,
加油唐先生,34,删,1,Z 其他,过短,网易云《活着》,https://music.163.com/#/song?id=27646786,
谢谢，已上岸,34,删,0,Z 其他,过短,网易云《孤独》,https://music.163.com/#/song?id=1484967131,
会过去的没事,34,删,0,Z 其他,过短,网易云《想哭》,https://music.163.com/#/song?id=65360,
加油你可以的,34,删,0,Z 其他,过短,网易云《富士山下》,https://music.163.com/#/song?id=65766,
加油[难过],34,删,0,Z 其他,过短,网易云《有我呢》,https://music.163.com/#/song?id=1400259397,
加油[心心],34,删,0,Z 其他,过短,网易云《magnolia》,https://music.163.com/#/song?id=494642794,
加油[装可爱],34,删,0,Z 其他,过短,网易云《magnolia》,https://music.163.com/#/song?id=494642794,
一定会过去的,34,删,0,Z 其他,过短,网易云《海屿你》,https://music.163.com/#/song?id=1973665667,
加油加油加油,34,删,0,Z 其他,过短,网易云《海屿你》,https://music.163.com/#/song?id=1973665667,
一定要加油,34,删,0,Z 其他,过短,网易云《我不难过》,https://music.163.com/#/song?id=287398,
27年高考加油,34,删,0,Z 其他,过短,网易云《追梦赤子心》,https://music.163.com/#/song?id=355992,
